Key,Description,MSRP,Wholesale,Cost
DF-AFM20-S-SS-P,"HEARTH KIT - 20"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",1033.00,516.50,532.00
DF-AFM20-SE-B-N,"HEARTH KIT - 20"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Black ""W...",760.00,380.00,391.40
DF-AFM20-SE-B-P,"HEARTH KIT - 20"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Black ""W...",760.00,380.00,391.40
DF-AFM20-SE-SS-N,"HEARTH KIT - 20"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",996.00,498.00,512.94
DF-AFM20-SE-SS-P,"HEARTH KIT - 20"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",996.00,498.00,512.94
DF-AFM24-EI-B-N,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",1306.00,653.00,672.59
DF-AFM24-EI-B-P,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",1306.00,653.00,672.59
DF-AFM24-EI-SS-N,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",1552.00,776.00,799.28
DF-AFM24-EI-SS-P,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",1552.00,776.00,799.28
DF-AFM24-ME-B-N,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",642.00,321.00,330.63
DF-AFM24-ME-B-P,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",642.00,321.00,330.63
DF-AFM24-ME-SS-N,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",889.00,444.50,457.84
DF-AFM24-ME-SS-P,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",889.00,444.50,457.84
DF-AFM24-RE-B-N,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",1038.00,519.00,534.57
DF-AFM24-RE-B-P,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",1038.00,519.00,534.57
DF-AFM24-RE-SS-N,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",1284.00,642.00,661.26
DF-AFM24-RE-SS-P,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",1284.00,642.00,661.26
DF-AFM24-S-B-N,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Black ""W...",873.00,436.50,449.60
DF-AFM24-S-B-P,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Black ""W...",873.00,436.50,449.60
DF-AFM24-S-SS-N,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",1119.00,559.50,576.29
DF-AFM24-S-SS-P,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",1119.00,559.50,576.29
DF-AFM24-SE-B-N,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Black ""W...",835.00,417.50,430.03
DF-AFM24-SE-B-P,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Black ""W...",835.00,417.50,430.03
DF-AFM24-SE-SS-N,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",1081.00,540.50,556.72
DF-AFM24-SE-SS-P,"HEARTH KIT - 24"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",1081.00,540.50,556.72
DF-AFM30-EI-B-N,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",1402.00,701.00,722.03
DF-AFM30-EI-B-P,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",1402.00,701.00,722.03
DF-AFM30-EI-SS-N,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",1691.00,845.50,870.87
DF-AFM30-EI-SS-P,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",1691.00,845.50,870.87
DF-AFM30-ME-B-N,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",739.00,369.50,380.59
DF-AFM30-ME-B-P,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",739.00,369.50,380.59
DF-AFM30-ME-SS-N,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",1028.00,514.00,529.42
DF-AFM30-ME-SS-P,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",1028.00,514.00,529.42
DF-AFM30-RE-B-N,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",1135.00,567.50,584.53
DF-AFM30-RE-B-P,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",1135.00,567.50,584.53
DF-AFM30-RE-SS-N,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",1424.00,712.00,733.36
DF-AFM30-RE-SS-P,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Stainless Steel ""Wedge"" Chassis; 40...",1424.00,712.00,733.36
DF-AFM30-S-B-N,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",969.00,484.50,499.04
DF-AFM30-S-B-P,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",969.00,484.50,499.04
DF-AFM30-S-SS-N,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",1258.00,629.00,647.87
DF-AFM30-S-SS-P,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",1258.00,629.00,647.87
DF-AFM30-SE-B-N,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",931.00,465.50,479.47
DF-AFM30-SE-B-P,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner; Black ""Wedge"" Chassis; 40,000 BTU/h...",931.00,465.50,479.47
DF-AFM30-SE-SS-N,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",1220.00,610.00,628.30
DF-AFM30-SE-SS-P,"HEARTH KIT - 30"" Double Face ALTERNA FireLine Single Burner for See-through fireplaces; Stainles...",1220.00,610.00,628.30
DF-FD20-AB,"Aqua Blue FireDrops (beads) for DF-AFM20 20"" Double Face FireGlitter set - 14 lbs.    (1-3D)",158.00,79.00,81.37
DF-FD20-BL,"Black FireDrops (beads) for DF-AFM20 20"" Double Face FireGlitter set - 14 lbs.    (1-3D)",158.00,79.00,81.37
DF-FD20-EG,"Emerald Green FireDrops (beads) for DF-AFM20 20"" Double Face FireGlitter set - 14 lbs.    (1-3D)",158.00,79.00,81.37
DF-FD20-FR,"Fire Red FireDrops (beads) for DF-AFM20 20"" Double Face FireGlitter set - 14 lbs.    (1-3D)",158.00,79.00,81.37
DF-FD20-HY,"Honey Yellow FireDrops (beads) for DF-AFM20 20"" Double Face FireGlitter set - 14 lbs.    (1-3D)",158.00,79.00,81.37
DF-FD20-PL,"Platinum FireDrops (beads) for DF-AFM20 20"" Double Face FireGlitter set - 14 lbs.    (1-3D)",158.00,79.00,81.37
DF-FD24-AB,"Aqua Blue FireDrops (beads) for DF-AFM24 24"" Double Face FireGlitter set - 17 lbs.    (1-3D)",192.00,96.00,98.88
DF-FD24-BL,"Black FireDrops (beads) for DF-AFM24 24"" Double Face FireGlitter set - 17 lbs.    (1-3D)",192.00,96.00,98.88
DF-FD24-EG,"Emerald Green FireDrops (beads) for DF-AFM24 24"" Double Face FireGlitter set - 17 lbs.    (1-3D)",192.00,96.00,98.88
DF-FD24-FR,"Fire Red FireDrops (beads) for DF-AFM24 24"" Double Face FireGlitter set - 17 lbs.    (1-3D)",192.00,96.00,98.88
DF-FD24-HY,"Honey Yellow FireDrops (beads) for DF-AFM24 24"" Double Face FireGlitter set - 17 lbs.    (1-3D)",192.00,96.00,98.88
DF-FD24-PL,"Platinum FireDrops (beads) for DF-AFM24 24"" Double Face FireGlitter set - 17 lbs.    (1-3D)",192.00,96.00,98.88
DF-FD30-AB,"Aqua Blue FireDrops (beads) for DF-AFM30 30"" Double Face FireGlitter set - 22 lbs.    (1-3D)",248.00,124.00,127.72
DF-FD30-BL,"Black FireDrops (beads) for DF-AFM30 30"" Double Face FireGlitter set - 22 lbs.    (1-3D)",248.00,124.00,127.72
DF-FD30-EG,"Emerald Green FireDrops (beads) for DF-AFM30 30"" Double Face FireGlitter set - 22 lbs.    (1-3D)",248.00,124.00,127.72
DF-FD30-FR,"Black FireDrops (beads) for DF-AFM30 30"" Double Face FireGlitter set - 22 lbs.    (1-3D)",248.00,124.00,127.72
DF-FD30-HY,"Honey Yellow FireDrops (beads) for DF-AFM30 30"" Double Face FireGlitter set - 22 lbs.    (1-3D)",248.00,124.00,127.72
DF-FD30-PL,"Platinum FireDrops (beads) for DF-AFM30 30"" Double Face FireGlitter set - 22 lbs.    (1-3D)",248.00,124.00,127.72
DF-GM20-BG,"Blue/Green Glass for DF-AFM20 20"" Double Face FireGlitter set - 10 lbs.  (1-3D)",113.00,56.50,58.20
DF-GM20-BL,"Black Glass for DF-AFM20 20"" Double Face FireGlitter set - 10 lbs.   (1-3D)",113.00,56.50,58.20
DF-GM20-CB,"Cobalt Blue Glass for DF-AFM20 20"" Double Face FireGlitter set - 10 lbs.    (1-3D)",113.00,56.50,58.20
DF-GM20-CU,"Copper Glass for DF-AFM20 20"" Double Face FireGlitter set - 10 lbs.    (1-3D)",113.00,56.50,58.20
DF-GM20-PL,"Platinum Glass for DF-AFM20 20"" Double Face FireGlitter set - 10 lbs.    (1-3D)",113.00,56.50,58.20
DF-GM24-BG,"Blue/Green Glass for DF-AFM24 24"" Double Face FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
DF-GM24-BL,"Black Glass for DF-AFM24 24"" Double Face FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
DF-GM24-CB,"Cobalt Blue Glass for DF-AFM24 24"" Double Face FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
DF-GM24-CU,"Copper Glass for DF-AFM24 24"" Double Face FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
DF-GM24-PL,"Platinum Glass for DF-AFM24 24"" Double Face FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
DF-GM30-BG,"Blue/Green Glass for DF-AFM30 30"" Double Face FireGlitter set - 15 lbs.    (1-3D)",170.00,85.00,87.55
DF-GM30-BL,"Black Glass for DF-AFM30 30"" Double Face FireGlitter set - 15 lbs.    (1-3D)",170.00,85.00,87.55
DF-GM30-CB,"Cobalt Blue Glass for DF-AFM30 30"" Double Face FireGlitter set - 15 lbs.    (1-3D)",170.00,85.00,87.55
DF-GM30-CU,"Copper Glass for DF-AFM30 30"" Double Face FireGlitter set - 15 lbs.    (1-3D)",170.00,85.00,87.55
DF-GM30-PL,"Platinum Glass for DF-AFM30 30"" Double Face FireGlitter set - 15 lbs.    (1-3D)",170.00,85.00,87.55
FD20-AB,"Aqua-Blue FireDrops (beads) for AFM20 20"" FireGlitter set - 8 lbs.    (1-3D)",90.00,45.00,46.35
FD20-BL,"Black FireDrops (beads) for AFM20 20"" FireGlitter set - 8 lbs.    (1-3D)",90.00,45.00,46.35
FD20-EG,"Emerald Green FireDrops (beads) for AFM20 20"" FireGlitter set - 8 lbs.    (1-3D)",90.00,45.00,46.35
FD20-FR,"Fire Red FireDrops (beads) for AFM20 20"" FireGlitter set - 8 lbs.    (1-3D)",90.00,45.00,46.35
FD20-HY,"Honey Yellow FireDrops (beads) for AFM20 20"" FireGlitter set - 8 lbs.    (1-3D)",90.00,45.00,46.35
FD20-PL,"Platinum FireDrops (beads) for AFM20 20"" FireGlitter set - 8 lbs.    (1-3D)",90.00,45.00,46.35
FD24-AB,"Aqua-Blue FireDrops (beads) for AFM24 24"" FireGlitter set - 9 lbs.    (1-3D)",102.00,51.00,52.53
FD24-BL,"Black FireDrops (beads) for AFM24 24"" FireGlitter set - 9 lbs.    (1-3D)",102.00,51.00,52.53
FD24-EG,"Emerald Green FireDrops (beads) for AFM24 24"" FireGlitter set - 9 lbs.    (1-3D)",102.00,51.00,52.53
FD24-FR,"Fire Red FireDrops (beads) for AFM24 24"" FireGlitter set - 9 lbs.    (1-3D)",102.00,51.00,52.53
FD24-HY,"Honey Yellow FireDrops (beads) for AFM24 24"" FireGlitter set - 9 lbs.    (1-3D)",102.00,51.00,52.53
FD24-PL,"Platinum FireDrops (beads) for AFM24 24"" FireGlitter set - 9 lbs.    (1-3D)",102.00,51.00,52.53
FD30-AB,"Aqua Blue FireDrops (beads) for AFM30 30"" FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
FD30-BL,"Black FireDrops (beads) for AFM30 30"" FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
FD30-EG,"Emerald Green FireDrops (beads) for AFM30 30"" FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
FD30-FR,"Fire Red FireDrops (beads) for AFM30 30"" FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
FD30-HY,"Honey Yellow FireDrops (beads) for AFM30 30"" FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
FD30-PL,"Platinum FireDrops (beads) for AFM30 30"" FireGlitter set - 12 lbs.    (1-3D)",135.00,67.50,69.53
GM20-BG,"Blue/Green Glass for AFM20 20"" FireGlitter set - 7 lbs.    (1-3D)",80.00,40.00,41.20
GM20-BL,"Black Glass for AFM20 20"" FireGlitter set - 7 lbs.    (1-3D)",80.00,40.00,41.20
GM20-CB,"Cobalt Blue Glass for AFM20 20"" FireGlitter set - 7 lbs.    (1-3D)",80.00,40.00,41.20
GM20-CU,"Copper Glass for AFM20 20"" FireGlitter set - 7 lbs.    (1-3D)",80.00,40.00,41.20
GM20-PL,"Platinum Glass for AFM20 20"" FireGlitter set - 7 lbs.    (1-3D)",80.00,40.00,41.20
GM24-BG,"Blue/Green Glass for AFM24 24"" FireGlitter set - 8 lbs.    (1-3D)",90.00,45.00,46.35
GM24-BL,"Black Glass for AFM24 24"" FireGlitter set - 8 lbs.    (1-3D)",90.00,45.00,46.35
GM24-CB,"Cobalt Blue Glass for AFM24 24"" FireGlitter set - 8 lbs.    (1-3D)",90.00,45.00,46.35
GM24-CU,"Copper Glass for AFM24 24"" FireGlitter set - 8 lbs    (1-3D)",90.00,45.00,46.35
GM24-PL,"Platinum Glass for AFM24 24"" FireGlitter set - 8 lbs.    (1-3D)",90.00,45.00,46.35
GM30-BG,"Blue/Green Glass for AFM30 30"" FireGlitter set - 10 lbs.    (1-3D)",113.00,56.50,58.20
GM30-BL,"Black Glass for AFM30 30"" FireGlitter set - 10 lbs.    (1-3D)",113.00,56.50,58.20
GM30-CB,"Cobalt Blue Glass for AFM30 30"" FireGlitter set - 10 lbs.    (1-3D)",113.00,56.50,58.20
GM30-CU,"Copper Glass for AFM30 30"" FireGlitter set - 10 lbs.    (1-3D)",113.00,56.50,58.20
GM30-PL,"Platinum Glass for AFM30 30"" FireGlitter set - 10 lbs.    (1-3D)",113.00,56.50,58.20
AFS20-EI-B-N,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr;  Variable Remot...",1103.00,551.50,568.05
AFS20-EI-B-P,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr;  Variable Remot...",1103.00,551.50,568.05
AFS20-EI-SS-N,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 BTU/hr;  Vari...",1301.00,650.50,670.02
AFS20-EI-SS-P,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 BTU/hr;  Vari...",1301.00,650.50,670.02
AFS20-ME-B-N,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr; Manual ""EASY"" C...",514.00,257.00,264.71
AFS20-ME-B-P,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr; Manual ""EASY"" C...",514.00,257.00,264.71
AFS20-ME-SS-N,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 BTU/hr; Manua...",712.00,356.00,366.68
AFS20-ME-SS-P,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 BTU/hr; Manua...",712.00,356.00,366.68
AFS20-RE-B-N,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr; Variable Flame ...",856.00,428.00,440.84
AFS20-RE-B-P,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr; Variable Flame ...",856.00,428.00,440.84
AFS20-RE-SS-N,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 BTU/hr; Varia...",1054.00,527.00,542.81
AFS20-RE-SS-P,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 BTU/hr; Varia...",1054.00,527.00,542.81
AFS20-S-B-N,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr; Millivolt Switc...",701.00,350.50,361.02
AFS20-S-B-P,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr; Millivolt Switc...",701.00,350.50,361.02
AFS20-S-SS-N,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 BTU/hr; Milli...",883.00,441.50,454.75
AFS20-S-SS-P,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 BTU/hr; Milli...",883.00,441.50,454.75
AFS20-SE-B-N,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr;  Wireless Remot...",701.00,350.50,361.02
AFS20-SE-B-P,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr;  Wireless Remot...",701.00,350.50,361.02
AFS20-SE-SS-N,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 BTU/hr;  Wire...",883.00,441.50,454.75
AFS20-SE-SS-P,"HEARTH KIT - 20"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 BTU/hr;  Wire...",883.00,441.50,454.75
AFS24-EI-B-N,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;  Variable Remot...",1167.00,583.50,601.01
AFS24-EI-B-P,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;  Variable Remot...",1167.00,583.50,601.01
AFS24-EI-SS-N,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr;  Vari...",1386.00,693.00,713.79
AFS24-EI-SS-P,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr;  Vari...",1386.00,693.00,713.79
AFS24-ME-B-N,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr; Manual ""EASY"" C...",578.00,289.00,297.67
AFS24-ME-B-P,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr; Manual ""EASY"" C...",578.00,289.00,297.67
AFS24-ME-SS-N,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr; Manua...",792.00,396.00,407.88
AFS24-ME-SS-P,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr; Manua...",792.00,396.00,407.88
AFS24-RE-B-N,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr; Variable Flame ...",921.00,460.50,474.32
AFS24-RE-B-P,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr; Variable Flame ...",921.00,460.50,474.32
AFS24-RE-SS-N,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr; Varia...",1140.00,570.00,587.10
AFS24-RE-SS-P,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr; Varia...",1140.00,570.00,587.10
AFS24-S-B-N,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr; Millivolt Switc...",760.00,380.00,391.40
AFS24-S-B-P,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr; Millivolt Switc...",760.00,380.00,391.40
AFS24-S-SS-N,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr; Milli...",963.00,481.50,495.95
AFS24-S-SS-P,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr; Milli...",963.00,481.50,495.95
AFS24-SE-B-N,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;  Wireless Remot...",760.00,380.00,391.40
AFS24-SE-B-P,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;  Wireless Remot...",760.00,380.00,391.40
AFS24-SE-SS-N,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr;  Wire...",963.00,481.50,495.95
AFS24-SE-SS-P,"HEARTH KIT - 24"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr;  Wire...",963.00,481.50,495.95
AFS30-EI-B-N,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;  Variable Remot...",1252.00,626.00,644.78
AFS30-EI-B-P,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;  Variable Remot...",1252.00,626.00,644.78
AFS30-EI-SS-N,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr;  Vari...",1498.00,749.00,771.47
AFS30-EI-SS-P,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr;  Vari...",1498.00,749.00,771.47
AFS30-ME-B-N,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;   Manual ""EASY""...",664.00,332.00,341.96
AFS30-ME-B-P,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;   Manual ""EASY""...",664.00,332.00,341.96
AFS30-ME-SS-N,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr;   Man...",915.00,457.50,471.23
AFS30-ME-SS-P,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner;Stainless Steel Chassis; 40,000 BTU/hr;   Manu...",915.00,457.50,471.23
AFS30-RE-B-N,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr; Variable Flame ...",1006.00,503.00,518.09
AFS30-RE-B-P,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr; Variable Flame ...",1006.00,503.00,518.09
AFS30-RE-SS-N,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr; Varia...",1252.00,626.00,644.78
AFS30-RE-SS-P,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr; Varia...",1252.00,626.00,644.78
AFS30-S-B-N,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;  Millivolt Swit...",846.00,423.00,435.69
AFS30-S-B-P,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr; Millivolt Switc...",846.00,423.00,435.69
AFS30-S-SS-N,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr; Milli...",1081.00,540.50,556.72
AFS30-S-SS-P,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr; Milli...",1081.00,540.50,556.72
AFS30-SE-B-N,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;  Wireless Remot...",846.00,423.00,435.69
AFS30-SE-B-P,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Black Chassis; 40,000 BTU/hr;  Wireless Remot...",846.00,423.00,435.69
AFS30-SE-SS-N,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr;  Wire...",1081.00,540.50,556.72
AFS30-SE-SS-P,"HEARTH KIT - 30"" ALTERNA FireStones Single Burner; Stainless Steel Chassis; 40,000 BTU/hr;  Wire...",1081.00,540.50,556.72
DF-AFS20-EI-B-N,"HEARTH KIT - 20"" Double Face ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr; Var...",1129.00,564.50,581.44
DF-AFS20-EI-B-P,"HEARTH KIT - 20"" Double Face ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr; Var...",1129.00,564.50,581.44
DF-AFS20-EI-SS-N,"HEARTH KIT - 20"" Double Face ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 B...",1343.00,671.50,691.65
DF-AFS20-EI-SS-P,"HEARTH KIT - 20"" Double Face ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 B...",1343.00,671.50,691.65
DF-AFS20-ME-B-N,"HEARTH KIT - 20"" Double Face ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr; Man...",541.00,270.50,278.62
DF-AFS20-ME-B-P,"HEARTH KIT - 20"" Double Face ALTERNA FireStones Single Burner; Black Chassis; 30,000 BTU/hr; Man...",541.00,270.50,278.62
DF-AFS20-ME-SS-N,"HEARTH KIT - 20"" Double Face ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 B...",766.00,383.00,394.49
DF-AFS20-ME-SS-P,"HEARTH KIT - 20"" Double Face ALTERNA FireStones Single Burner; Stainless Steel Chassis; 30,000 B...",766.00,383.00,394.49
